pmc_index	pmcc_index	mc7	mc8	mc8o	mc9	mc10	mc11	mc12	pmcc_id	pmcc_uuid	pmcc_submission_time	pmcc_parent_table_name	pmcc_parent_index	pmcc_tags	pmcc_notes	pmcc_version	pmcc_duration	pmcc_submitted_by
553.0	577	"cereals"	"maize"		1	0	15.0	1				"rgrp2"	553					
554.0	578	"legumes_oilseeds"	"beans"		1	1	1.0	1				"rgrp2"	554					
555.0	579	"cereals"	"maize"		2	0	16.0	1				"rgrp2"	555					
555.0	580	"legumes_oilseeds"	"sunflower"		4	0	3.0	10				"rgrp2"	555					
556.0	581	"legumes_oilseeds"	"beans"		1	1	4.0	10				"rgrp2"	556					
557.0	582	"legumes_oilseeds"	"groundnut"		1	0	2.0	2				"rgrp2"	557					
558.0	583	"legumes_oilseeds"	"beans"		1	1	3.0	10				"rgrp2"	558					
559.0	584	"cereals"	"maize"		1	0	9.0	1				"rgrp2"	559					
560.0	585	"cereals"	"maize"		3	0	1.0	0				"rgrp2"	560					
561.0	586	"cereals"	"maize"		1	0	4.0	0				"rgrp2"	561					
562.0	587	"legumes_oilseeds"	"groundnut"		2	0	1.0	2				"rgrp2"	562					
562.0	588	"legumes_oilseeds"	"sunflower"		4	0	1.0	10				"rgrp2"	562					
563.0	589	"legumes_oilseeds"	"beans"		1	0	4.0	10				"rgrp2"	563					
564.0	590	"legumes_oilseeds"	"beans"		3	0	3.0	10				"rgrp2"	564					
564.0	591	"legumes_oilseeds"	"groundnut"		3	0	4.0	3				"rgrp2"	564					
565.0	592	"cereals"	"maize"		1	0	25.0	0				"rgrp2"	565					
566.0	593	"cereals"	"maize"		1	0	6.0	1				"rgrp2"	566					
566.0	594	"legumes_oilseeds"	"beans"		3	0	5.0	10				"rgrp2"	566					
567.0	595	"cereals"	"maize"		1	0	12.0	1				"rgrp2"	567					
568.0	596	"cereals"	"maize"		1	0	5.0	1				"rgrp2"	568					
569.0	597	"cereals"	"maize"		1	0	15.0	1				"rgrp2"	569					
570.0	598	"legumes_oilseeds"	"beans"		1	0	3.0	1				"rgrp2"	570					
