psc_index	pscc_index	sc7	sc8	sc8o	sc9	sc10	sc11	sc12	pscc_id	pscc_uuid	pscc_submission_time	pscc_parent_table_name	pscc_parent_index	pscc_tags	pscc_notes	pscc_version	pscc_duration	pscc_submitted_by
1852.0	244	"legumes_oilseeds"	"sunflower"		5	1	0.0	8				"rgrp4"	1852					
1853.0	245	"legumes_oilseeds"	"groundnut"		2	1	20.0	8				"rgrp4"	1853					
1853.0	246	"legumes_oilseeds"	"beans"		4	1	1.0	10				"rgrp4"	1853					
1854.0	247	"cereals"	"maize"		1	1	1.0	8				"rgrp4"	1854					
1854.0	248	"legumes_oilseeds"	"cowpeas"		3	1	10.0	8				"rgrp4"	1854					
1855.0	249	"fruits"	"banana"		1	1	5.0	17				"rgrp4"	1855					
1855.0	250	"cash_other"	"coffee"		3	1	10.0	8				"rgrp4"	1855					
1856.0	251	"cereals"	"maize"		1	1	2.0	8				"rgrp4"	1856					
1856.0	252	"cereals"	"finger_millet"		1	1	10.0	8				"rgrp4"	1856					
1857.0	253	"legumes_oilseeds"	"beans"		1	1	60.0	8				"rgrp4"	1857					
1858.0	254	"legumes_oilseeds"	"beans"		1	1	20.0	8				"rgrp4"	1858					
1859.0	255	"fruits"	"banana"		1	1	15.0	17				"rgrp4"	1859					
1871.0	256	"fruits"	"banana"		1	1	15.0	17				"rgrp4"	1871					
1873.0	257	"fruits"	"banana"		1	0	10.0	17				"rgrp4"	1873					
1877.0	258	"cereals"	"maize"		3	1	4.0	10				"rgrp4"	1877					
1877.0	259	"legumes_oilseeds"	"beans"		4	1	5.0	10				"rgrp4"	1877					
1885.0	260	"fruits"	"banana"		1	0	0.0	17				"rgrp4"	1885					
1885.0	261	"cash_other"	"coffee"		5	0	0.0	8				"rgrp4"	1885					
1892.0	262	"fruits"	"banana"		1	0	10.0	17				"rgrp4"	1892					
1892.0	263	"cash_other"	"coffee"		2	0	25.0	8				"rgrp4"	1892					
1893.0	264	"cash_other"	"coffee"		2	0	25.0	8				"rgrp4"	1893					
1893.0	265	"fruits"	"banana"		3	0	15.0	17				"rgrp4"	1893					
1908.0	266	"vegetables"	"cabbage"		1	1	75.0	14				"rgrp4"	1908					
