fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
213.0	347	3	1	1				"APS_tz17_fp"	213					
214.0	348	4	1	1				"APS_tz17_fp"	214					
215.0	349	4	4	1				"APS_tz17_fp"	215					
216.0	350	1	1	1				"APS_tz17_fp"	216					
216.0	351	2	4	1				"APS_tz17_fp"	216					
217.0	352	3	1	1				"APS_tz17_fp"	217					
217.0	353	5	1	1				"APS_tz17_fp"	217					
218.0	354	2	4	1				"APS_tz17_fp"	218					
218.0	355	3	4	1				"APS_tz17_fp"	218					
219.0	356	3	2	1				"APS_tz17_fp"	219					
219.0	357	4	3	1				"APS_tz17_fp"	219					
220.0	358	2	2	1				"APS_tz17_fp"	220					
221.0	359	2	3	1				"APS_tz17_fp"	221					
221.0	360	3	3	1				"APS_tz17_fp"	221					
222.0	361	2	2	1				"APS_tz17_fp"	222					
222.0	362	3	2	1				"APS_tz17_fp"	222					
223.0	363	4	1	1				"APS_tz17_fp"	223					
223.0	364	5	1	1				"APS_tz17_fp"	223					
224.0	365	3	2	1				"APS_tz17_fp"	224					
224.0	366	4	4	1				"APS_tz17_fp"	224					
225.0	367	2	4	1				"APS_tz17_fp"	225					
225.0	368	4	2	1				"APS_tz17_fp"	225					
226.0	369	3	2	1				"APS_tz17_fp"	226					
226.0	370	4	1	1				"APS_tz17_fp"	226					
227.0	371	4	3	1				"APS_tz17_fp"	227					
227.0	372	5	3	1				"APS_tz17_fp"	227					
228.0	373	1	3	1				"APS_tz17_fp"	228					
228.0	374	3	2	1				"APS_tz17_fp"	228					
229.0	375	1	2	1				"APS_tz17_fp"	229					
229.0	376	2	3	1				"APS_tz17_fp"	229					
230.0	377	3	2	1				"APS_tz17_fp"	230					
230.0	378	4	1	1				"APS_tz17_fp"	230					
231.0	379	3	3	1				"APS_tz17_fp"	231					
231.0	380	4	4	1				"APS_tz17_fp"	231					
232.0	381	3	4	1				"APS_tz17_fp"	232					
232.0	382	4	2	1				"APS_tz17_fp"	232					
233.0	383	3	1	1				"APS_tz17_fp"	233					
233.0	384	4	2	1				"APS_tz17_fp"	233					
234.0	385	3	2	1				"APS_tz17_fp"	234					
234.0	386	4	1	1				"APS_tz17_fp"	234					
235.0	387	3	4	1				"APS_tz17_fp"	235					
236.0	388	2	3	1				"APS_tz17_fp"	236					
236.0	389	3	3	1				"APS_tz17_fp"	236					
237.0	390	2	4	1				"APS_tz17_fp"	237					
237.0	391	3	4	1				"APS_tz17_fp"	237					
